"Week  of data collection (Either Week 4 or 5)","Name of location","Species...3","GPS location","Date","Soil CO2 efflux (Q, g CO2/m2/hour) / Before Rain ","Soil CO2 efflux (Q, g CO2/m2/hour) / After Rain ","Greenhouse gas emissions (CO2, ppm)","Greenhouse gas emissions (N2O, ppm)","Greenhouse gas emissions (CH4, ppm)","Soil temperature (°C)","Atmospheric/Surface temperature (°C)","Canopy cover (%)","Light Intensity (μmol/m²/s)","Soil volumetric water content (%)","Weather conditions","Water Sample No.","Date of Rain sample collection","Species...19","Rain Types","Time of Sample Removal","Rain Volume (ml)","Rain pH","Rain pH Temp (°C)","Rain Conductivity (µS/cm)","Rain Conductivity Temp (°C)","Organic Matter Percentage as determined by Soil Colour (%)","Soil Texture","Soil Conducivity (µS/cm) Measure One","Soil Conducivity (µS/cm) Measure Two","Soil Conducivity (µS/cm) Measure Three","Soil Conducivity (µS/cm) Mean","Soil Temperate (°C) at time of measurement","Soil PH Measure One","Soil PH Measure Two","Soil PH Measure Three","Soil PH Measure Mean","Rooibos mass lost (%)","Green mass lost (%)","part1","part2","rest","lon","lat"
4,"Lawn 1","Grass","36° 50’ 58” S, 174° 46’ 15” E, 336° NW",2025-08-14,NA,0.18,610.8,0.335,1.977,8.3,14.3,4,77.034,39.9,"Overcast","7","16/08/2025-18/08/2027","Grass","Rainfall",1899-12-31 15:00:00,178,6.2,17.35,29.8,10.9,2,"Silty Clay Loam",100,100.3,99.9,100.066666666667,20.3,5.43,5.52,5.54,5.49666666666667,9.26621239512354,30.5677080652633,"36° 50’ 58” S","174° 46’ 15” E"," 336° NW",174.770833333333,-36.8494444444444
4,"Lawn 2","Grass","36° 50’ 58” S, 174° 46’ 15” E, 262° W",2025-08-14,NA,0.45,708.9,0.3345,1.985,8.5,14.3,0,81.622,41.4,"Overcast","8","16/08/2025-18/08/2028","Grass","Rainfall",1899-12-31 15:00:00,195,5.99,16.2,17.57,10.2,2,"Silty Clay Loam",70.8,71.1,70.8,70.9,20.3,5.69,5.67,5.66,5.67333333333333,6.4288268955651,25.8122558091713,"36° 50’ 58” S","174° 46’ 15” E"," 262° W",174.770833333333,-36.8494444444444
4,"Lawn 3","Grass","36° 50’ 58” S, 174° 46’ 15” E, 269° W",2025-08-14,NA,-0.1,616.4,0.3333,1.96,8.8,14.3,2,82.3805,42.7,"Overcast","9","16/08/2025-18/08/2025","Grass","Rainfall",1899-12-31 15:00:00,242,5.96,19.5,41,14.9,1.5,"Silty Clay",60.6,60.9,60.7,60.7333333333333,20.4,5.89,5.9,5.91,5.9,9.48531036006186,32.3235265559763,"36° 50’ 58” S","174° 46’ 15” E"," 269° W",174.770833333333,-36.8494444444444
4,"Lawn 4","Grass","36° 50’ 58” S, 174° 46’ 15” E, 326° NW",2025-08-14,NA,0.2,577.9,0.3344,1.958,8.1,14.3,7,62.9185,41.3,"Overcast","10","16/08/2025-18/08/2025","Grass","Rainfall",1899-12-31 15:00:00,250,5.92,19.7,25.45,14.6,2,"Silty Clay Loam",81.7,80.4,80.2,80.7666666666667,20.6,5.69,5.69,5.68,5.68666666666667,48.4572562896474,-0.607041683528936,"36° 50’ 58” S","174° 46’ 15” E"," 326° NW",174.770833333333,-36.8494444444444
4,"Lawn 5","Grass","36° 50’ 58” S, 174° 46’ 15” E, 286° W",2025-08-14,NA,0.26,698.1,0.3357,1.962,8.6,14.3,2,56.277,43.6,"Overcast","11","16/08/2025-18/08/2025","Grass","Rainfall",1899-12-31 15:00:00,262,5.89,19.8,31.9,15.6,2,"Silty Clay",85.7,85.8,85.9,85.8,20.6,5.56,5.56,5.55,5.55666666666667,11.5467143495753,30.5013655872025,"36° 50’ 58” S","174° 46’ 15” E"," 286° W",174.770833333333,-36.8494444444444
4,"Lawn 6","Grass","36° 50’ 58” S, 174° 46’ 15” E, 254° W",2025-08-14,NA,0.18,626,0.3346,1.949,8.9,14.3,4,83.398,43.5,"Overcast","12","16/08/2025-18/08/2025","Grass","Rainfall",1899-12-31 15:00:00,214,6.45,19.8,30.1,16.1,1.5,"Silty Clay Loam",62,62,62.7,62.2333333333333,20.6,5.69,5.7,5.71,5.7,8.72113835689995,34.5008664601166,"36° 50’ 58” S","174° 46’ 15” E"," 254° W",174.770833333333,-36.8494444444444
4,"Forest 1","Puriri tree base","(-36.84987713,174.77117392)",2025-08-14,0,0.02,1848,0.3918,1.943,11.65,NA,42.78,11.955,43.1,"Overcast","1","16/08/2025-18/08/2026","Puriri","Throughfall",1899-12-31 15:00:00,110,6.5,18.8,61.97,11.63,2.5,"loam",151.4,152.5,152.6,152.2,20.3,6.32,6.33,6.35,6.33,13.1745283018868,38.2637660039555,"-36.84987713","174.77117392",NA,174.77117392,-36.84987713
4,"Forest 2","Puriri tree base","(-36.8498161, 174.77104215)",2025-08-14,0.27,0.27,2600,0.4014,1.905,11.7,NA,38.19,10.355,35.6,"Overcast","2","16/08/2025-18/08/2026","Puriri","Throughfall",1899-12-31 15:00:00,100,6.83,18.5,67.737,10.77,1.5,"sandy loam",87.9,87.8,87.7,87.8,20.1,6.62,6.64,6.67,6.64,10.1628272735683,29.0466990245512,"-36.8498161","174.77104215",NA,174.77104215,-36.8498161
4,"Forest 3","Puriri tree base","(-36.84983577, 174.77120257)",2025-08-14,0.07,-0.1,2945,0.3999,1.889,12.35,NA,23.72,25.34,39.6,"Overcast","3","16/08/2025-18/08/2026","Puriri","Throughfall",1899-12-31 15:00:00,115,6.77,18.5,71.07,10.97,2,"loam sandy",90,90.3,90.4,90.2,19.9,6.97,6.97,6.94,6.96,14.179730624862,40.1974096511385,"-36.84983577","174.77120257",NA,174.77120257,-36.84983577
4,"Forest 4","Rimu tree base","(-36.84988726,  174.7712904)",2025-08-14,-0.09,NA,1104,0.3379,2.038,10.9,NA,47.81,10,41.35,"Overcast","4","16/08/2025-18/08/2026","Rimu","Throughfall",1899-12-31 15:00:00,80,6.38,19,127.5,15.03,2,"silt loam",56.1,56.1,55.9,56.1,20.2,6.7,6.5,6.49,6.56,15.8174730566384,39.0027217172495,"-36.84988726","174.7712904",NA,174.7712904,-36.84988726
4,"Forest 5","Rimu tree base","(-36.8498804, 174.77133802)",2025-08-14,0.1,NA,1351,0.343,1.984,11.85,NA,43.28,6.865,26.45,"Overcast","5","16/08/2025-18/08/2025","Rimu","Throughfall",1899-12-31 15:00:00,60,6.12,16.2,161.8,12.6,2.5,"clay",78.9,79.1,79,79,20.5,6.63,6.63,6.63,6.63,12.2502016309705,27.9782429216648,"-36.8498804","174.77133802",NA,174.77133802,-36.8498804
4,"Forest 6","Rimu tree base","(-36.84989851, 174.7713635)",2025-08-14,-0.09,-0.08,1106,0.3528,1.998,11.75,NA,3.31,65.25,38.15,"Overcast","6","16/08/2025-18/08/2026","Rimu","Throughfall",1899-12-31 15:00:00,1,0,0,0,0,2.5,"sandy clay loam",46.6,46.5,46.5,46.5,20.4,6.46,6.46,6.46,6.46,12.1282003012048,38.8067209980883,"-36.84989851","174.7713635",NA,174.7713635,-36.84989851
5,"Lawn 1","Grass","(-36.84955721, 174.77091014)",2025-08-21,0.04,NA,720.3,0.3357,1.973,8.6,NA,0,11.67,44.5,"Clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.84955721","174.77091014",NA,174.77091014,-36.84955721
5,"Lawn 2","Grass","(-36.84955147, 174.77092673)",2025-08-21,-0.01,NA,650.5,0.3362,1.972,8.7,NA,0,14.38,45.2,"Clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.84955147","174.77092673",NA,174.77092673,-36.84955147
5,"Lawn 3","Grass","(-36.84954042, 174.77094239)",2025-08-21,-0.08,NA,876.3,0.3335,1.991,9.13,NA,0,15.34,44.6,"Clear","9(2)","19/08/2025-20/08/2025","Grass","Rainfall",1899-12-31 10:00:00,40,5.99,14.7,75.3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.84954042","174.77094239",NA,174.77094239,-36.84954042
5,"Lawn 4","Grass","(-36.84951874, 174.77095998)",2025-08-21,0.06,NA,1293,0.3415,1.961,8.2,NA,0,10.36,43.9,"Clear","10(2)","19/08/2025-20/08/2025","Grass","Rainfall",1899-12-31 10:00:00,20,6.22,16.3,49.9,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.84951874","174.77095998",NA,174.77095998,-36.84951874
5,"Lawn 5","Grass","(-36.84947682, 174.77091654)",2025-08-21,0.13,NA,1181,0.3398,1.977,9,NA,0,12.19,45.5,"Clear","11(2)","19/08/2025-20/08/2025","Grass","Rainfall",1899-12-31 10:00:00,46,6.3,16,55.3,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.84947682","174.77091654",NA,174.77091654,-36.84947682
5,"Lawn 6","Grass","(-36.84951415, 174.77087984)",2025-08-21,0.22,NA,1123,0.3395,1.967,9,NA,0,23.38,45.4,"Clear","12(2)","19/08/2025-20/08/2025","Grass","Rainfall",1899-12-31 10:00:00,24,6.53,17.1,49.5,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.84951415","174.77087984",NA,174.77087984,-36.84951415
5,"Forest 1","Puriri tree base","(-36.84986, 174.77128)",2025-08-21,0.43,NA,1293,0.4113,1.969,10.3,12.8,73,3.8961,47.2,"Clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.84986","174.77128",NA,174.77128,-36.84986
5,"Forest 2","Puriri tree base","(-36.84983, 174.77122)",2025-08-21,0.86,NA,3273,0.4782,1.891,10.4,11.8,73,5.56665,44.2,"Clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.84983","174.77122",NA,174.77122,-36.84983
5,"Forest 3","Puriri tree base","(-36.84985, 174.77131 )",2025-08-21,1.16,NA,1359,0.3752,1.956,10.9,13.9,65,131.5905,41.4,"Clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.84985","174.77131",NA,174.77131,-36.84985
5,"Forest 4","Rimu tree base","(-36.84986, 174.77136 )",2025-08-21,0.24,NA,1289,0.3461,1.933,10.2,9.9,64,2.28845,28.7,"Clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.84986","174.77136",NA,174.77136,-36.84986
5,"Forest 5","Rimu tree base","(-36.84989, 174.77138)",2025-08-21,0.34,NA,1023,0.3418,1.95,10.3,12,78,6.6526,16.9,"Clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.84989","174.77138",NA,174.77138,-36.84989
5,"Forest 6","Rimu tree base","(-36.84986, 174.77135)",2025-08-21,0.48,NA,1372,0.5326,1.945,10.5,24.4,41,218.7995,40.8,"Clear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-36.84986","174.77135",NA,174.77135,-36.84986
